index	trace	layers	seed	attack	frac	name
0	chain	6	1	cmix	0.4	atk_chain_L6_s1_cmix40
1	chain	5	1	cmix	0.4	atk_chain_L5_s1_cmix40
2	chain	6	1	cmix	0.3	atk_chain_L6_s1_cmix30
3	chain	4	1	cmix	0.4	atk_chain_L4_s1_cmix40
4	chain	5	1	cmix	0.3	atk_chain_L5_s1_cmix30
5	chain	3	1	cmix	0.4	atk_chain_L3_s1_cmix40
6	chain	4	1	cmix	0.3	atk_chain_L4_s1_cmix30
7	chain	6	1	cmix	0.2	atk_chain_L6_s1_cmix20
8	chain	5	1	cmix	0.2	atk_chain_L5_s1_cmix20
9	chain	3	1	cmix	0.3	atk_chain_L3_s1_cmix30
10	chain	4	1	cmix	0.2	atk_chain_L4_s1_cmix20
11	chain	3	1	cmix	0.2	atk_chain_L3_s1_cmix20
12	chain	6	1	cmix	0.1	atk_chain_L6_s1_cmix10
13	chain	5	1	cmix	0.1	atk_chain_L5_s1_cmix10
14	chain	4	1	cmix	0.1	atk_chain_L4_s1_cmix10
15	chain	3	1	cmix	0.1	atk_chain_L3_s1_cmix10
16	march	6	1	cmix	0.4	atk_march_L6_s1_cmix40
17	march	5	1	cmix	0.4	atk_march_L5_s1_cmix40
18	chain	6	1	drop	0.0	atk_chain_L6_s1_ctl
19	chain	6	1	drop	0.1	atk_chain_L6_s1_drop10
20	chain	6	1	drop	0.2	atk_chain_L6_s1_drop20
21	chain	6	1	drop	0.3	atk_chain_L6_s1_drop30
22	chain	6	1	drop	0.4	atk_chain_L6_s1_drop40
23	march	6	1	cmix	0.3	atk_march_L6_s1_cmix30
24	march	4	1	cmix	0.4	atk_march_L4_s1_cmix40
25	chain	5	1	drop	0.0	atk_chain_L5_s1_ctl
26	chain	5	1	drop	0.1	atk_chain_L5_s1_drop10
27	chain	5	1	drop	0.2	atk_chain_L5_s1_drop20
28	chain	5	1	drop	0.3	atk_chain_L5_s1_drop30
29	chain	5	1	drop	0.4	atk_chain_L5_s1_drop40
30	march	5	1	cmix	0.3	atk_march_L5_s1_cmix30
31	chain	4	1	drop	0.0	atk_chain_L4_s1_ctl
32	chain	4	1	drop	0.1	atk_chain_L4_s1_drop10
33	chain	4	1	drop	0.2	atk_chain_L4_s1_drop20
34	chain	4	1	drop	0.3	atk_chain_L4_s1_drop30
35	chain	4	1	drop	0.4	atk_chain_L4_s1_drop40
36	march	3	1	cmix	0.4	atk_march_L3_s1_cmix40
37	march	4	1	cmix	0.3	atk_march_L4_s1_cmix30
38	march	6	1	cmix	0.2	atk_march_L6_s1_cmix20
39	chain	3	1	drop	0.0	atk_chain_L3_s1_ctl
40	chain	3	1	drop	0.1	atk_chain_L3_s1_drop10
41	chain	3	1	drop	0.2	atk_chain_L3_s1_drop20
42	chain	3	1	drop	0.3	atk_chain_L3_s1_drop30
43	chain	3	1	drop	0.4	atk_chain_L3_s1_drop40
44	march	5	1	cmix	0.2	atk_march_L5_s1_cmix20
