index	trace	layers	seed	attack	frac	name
0	blockade1	6	1	cmix	0.4	atk_blockade1_L6_s1_cmix40
1	gather	6	1	cmix	0.4	atk_gather_L6_s1_cmix40
2	blockade1	5	1	cmix	0.4	atk_blockade1_L5_s1_cmix40
3	gather	5	1	cmix	0.4	atk_gather_L5_s1_cmix40
4	blockade1	6	1	cmix	0.3	atk_blockade1_L6_s1_cmix30
5	gather	6	1	cmix	0.3	atk_gather_L6_s1_cmix30
6	blockade1	4	1	cmix	0.4	atk_blockade1_L4_s1_cmix40
7	gather	4	1	cmix	0.4	atk_gather_L4_s1_cmix40
8	blockade1	5	1	cmix	0.3	atk_blockade1_L5_s1_cmix30
9	gather	5	1	cmix	0.3	atk_gather_L5_s1_cmix30
10	blockade1	3	1	cmix	0.4	atk_blockade1_L3_s1_cmix40
11	gather	3	1	cmix	0.4	atk_gather_L3_s1_cmix40
12	blockade1	4	1	cmix	0.3	atk_blockade1_L4_s1_cmix30
13	gather	4	1	cmix	0.3	atk_gather_L4_s1_cmix30
14	blockade1	6	1	cmix	0.2	atk_blockade1_L6_s1_cmix20
15	gather	6	1	cmix	0.2	atk_gather_L6_s1_cmix20
16	blockade1	5	1	cmix	0.2	atk_blockade1_L5_s1_cmix20
17	gather	5	1	cmix	0.2	atk_gather_L5_s1_cmix20
18	blockade1	3	1	cmix	0.3	atk_blockade1_L3_s1_cmix30
19	gather	3	1	cmix	0.3	atk_gather_L3_s1_cmix30
20	blockade1	4	1	cmix	0.2	atk_blockade1_L4_s1_cmix20
21	gather	4	1	cmix	0.2	atk_gather_L4_s1_cmix20
22	blockade1	3	1	cmix	0.2	atk_blockade1_L3_s1_cmix20
23	gather	3	1	cmix	0.2	atk_gather_L3_s1_cmix20
24	blockade1	6	1	cmix	0.1	atk_blockade1_L6_s1_cmix10
25	gather	6	1	cmix	0.1	atk_gather_L6_s1_cmix10
26	blockade1	5	1	cmix	0.1	atk_blockade1_L5_s1_cmix10
27	gather	5	1	cmix	0.1	atk_gather_L5_s1_cmix10
28	blockade1	4	1	cmix	0.1	atk_blockade1_L4_s1_cmix10
29	gather	4	1	cmix	0.1	atk_gather_L4_s1_cmix10
30	blockade1	3	1	cmix	0.1	atk_blockade1_L3_s1_cmix10
31	gather	3	1	cmix	0.1	atk_gather_L3_s1_cmix10
32	blockade1	6	1	drop	0.0	atk_blockade1_L6_s1_ctl
33	blockade1	6	1	drop	0.1	atk_blockade1_L6_s1_drop10
34	blockade1	6	1	drop	0.2	atk_blockade1_L6_s1_drop20
35	blockade1	6	1	drop	0.3	atk_blockade1_L6_s1_drop30
36	blockade1	6	1	drop	0.4	atk_blockade1_L6_s1_drop40
37	gather	6	1	drop	0.0	atk_gather_L6_s1_ctl
38	gather	6	1	drop	0.1	atk_gather_L6_s1_drop10
39	gather	6	1	drop	0.2	atk_gather_L6_s1_drop20
40	gather	6	1	drop	0.3	atk_gather_L6_s1_drop30
41	gather	6	1	drop	0.4	atk_gather_L6_s1_drop40
42	blockade1	5	1	drop	0.0	atk_blockade1_L5_s1_ctl
